6,6.9,29.27,6.72,-1.0
7,6.9,29.27,6.72,-1.0
8,6.9,29.27,6.72,-1.0
1,6.44,29.11,6.69,67.0
2,6.44,29.11,6.69,175.0
3,6.44,29.11,6.69,169.0
4,6.44,29.11,6.69,-1.0
5,6.44,29.11,6.69,-1.0
6,6.44,29.11,6.69,-1.0
7,6.44,29.11,6.69,115.0
8,6.44,29.11,6.69,-1.0
1,5.69,26.74,7.44,68.0
2,5.69,26.74,7.44,175.0
3,5.69,26.74,7.44,168.0
4,5.69,26.74,7.44,-1.0
5,5.69,26.74,7.44,-1.0
6,5.69,26.74,7.44,-1.0
7,5.69,26.74,7.44,115.0
8,5.69,26.74,7.44,-1.0
1,6.16,29.35,6.71,64.0
2,6.16,29.35,6.71,-1.0
3,6.16,29.35,6.71,170.0
4,6.16,29.35,6.71,-1.0
5,6.16,29.35,6.71,-1.0
6,6.16,29.35,6.71,-1.0
7,6.16,29.35,6.71,111.0
8,6.16,29.35,6.71,-1.0
1,7.31,28.56,7.42,64.0
2,7.31,28.56,7.42,178.0
3,7.31,28.56,7.42,166.0
4,7.31,28.56,7.42,-1.0
5,7.31,28.56,7.42,-1.0
6,7.31,28.56,7.42,-1.0
7,7.31,28.56,7.42,111.0
8,7.31,28.56,7.42,-1.0
1,7.98,25.83,6.07,62.0
2,7.98,25.83,6.07,179.0
3,7.98,25.83,6.07,165.0
4,7.98,25.83,6.07,-1.0
5,7.98,25.83,6.07,192.0
6,7.98,25.83,6.07,-1.0
7,7.98,25.83,6.07,109.0
8,7.98,25.83,6.07,-1.0
1,9.74,27.84,6.86,60.0
2,9.74,27.84,6.86,176.0
3,9.74,27.84,6.86,165.0
4,9.74,27.84,6.86,-1.0
5,9.74,27.84,6.86,-1.0
6,9.74,27.84,6.86,-1.0
7,9.74,27.84,6.86,-1.0
8,9.74,27.84,6.86,-1.0
1,12.15,-1.1,5.86,-1.0
2,12.15,-1.1,5.86,-1.0
3,12.15,-1.1,5.86,161.0
4,12.15,-1.1,5.86,-1.0
5,12.15,-1.1,5.86,-1.0
6,12.15,-1.1,5.86,-1.0
7,12.15,-1.1,5.86,-1.0
8,12.15,-1.1,5.86,-1.0
1,10.59,25.17,4.73,65.0
2,10.59,25.17,4.73,173.0
3,10.59,25.17,4.73,162.0
4,10.59,25.17,4.73,-1.0
5,10.59,25.17,4.73,-1.0
6,10.59,25.17,4.73,-1.0
7,10.59,25.17,4.73,112.0
8,10.59,25.17,4.73,-1.0
1,9.68,28.31,5.35,65.0
2,9.68,28.31,5.35,175.0
3,9.68,28.31,5.35,161.0
4,9.68,28.31,5.35,191.0
5,9.68,28.31,5.35,-1.0
6,9.68,28.31,5.35,-1.0
7,9.68,28.31,5.35,109.0
8,9.68,28.31,5.35,-1.0
1,13.16,28.85,6.12,62.0
2,13.16,28.85,6.12,174.0
3,13.16,28.85,6.12,160.0
4,13.16,28.85,6.12,-1.0
5,13.16,28.85,6.12,188.0
6,13.16,28.85,6.12,-1.0
7,13.16,28.85,6.12,-1.0
8,13.16,28.85,6.12,-1.0
1,9.75,0.59,7.67,-1.0
2,9.75,0.59,7.67,-1.0
3,9.75,0.59,7.67,165.0
4,9.75,0.59,7.67,-1.0
5,9.75,0.59,7.67,-1.0
6,9.75,0.59,7.67,-1.0
7,9.75,0.59,7.67,-1.0
8,9.75,0.59,7.67,-1.0
1,-1,-1,-1,-1.0
2,-1,-1,-1,-1.0
3,-1,-1,-1,-1.0
4,-1,-1,-1,-1.0
5,-1,-1,-1,-1.0
6,-1,-1,-1,-1.0
7,-1,-1,-1,-1.0
8,-1,-1,-1,-1.0
1,8.9,24.76,7.59,-1.0
2,8.9,24.76,7.59,-1.0
3,8.9,24.76,7.59,-1.0
4,8.9,24.76,7.59,-1.0
5,8.9,24.76,7.59,-1.0
6,8.9,24.76,7.59,-1.0
7,8.9,24.76,7.59,-1.0
8,8.9,24.76,7.59,-1.0
1,12.21,24.5,5.63,-1.0
2,12.21,24.5,5.63,-1.0
3,12.21,24.5,5.63,-1.0
4,12.21,24.5,5.63,-1.0
5,12.21,24.5,5.63,-1.0
6,12.21,24.5,5.63,-1.0
7,12.21,24.5,5.63,-1.0
8,12.21,24.5,5.63,-1.0
