6,6.9,29.27,6.72,-1.0
7,6.9,29.27,6.72,-1.0
8,6.9,29.27,6.72,-1.0
1,6.44,29.11,6.69,127.0
2,6.44,29.11,6.69,72.0
3,6.44,29.11,6.69,114.0
4,6.44,29.11,6.69,-1.0
5,6.44,29.11,6.69,-1.0
6,6.44,29.11,6.69,-1.0
7,6.44,29.11,6.69,101.0
8,6.44,29.11,6.69,-1.0
1,5.69,26.74,7.44,128.0
2,5.69,26.74,7.44,72.0
3,5.69,26.74,7.44,113.0
4,5.69,26.74,7.44,-1.0
5,5.69,26.74,7.44,-1.0
6,5.69,26.74,7.44,-1.0
7,5.69,26.74,7.44,103.0
8,5.69,26.74,7.44,-1.0
1,6.16,29.35,6.71,132.0
2,6.16,29.35,6.71,-1.0
3,6.16,29.35,6.71,116.0
4,6.16,29.35,6.71,-1.0
5,6.16,29.35,6.71,-1.0
6,6.16,29.35,6.71,-1.0
7,6.16,29.35,6.71,108.0
8,6.16,29.35,6.71,-1.0
1,7.31,28.56,7.42,130.0
2,7.31,28.56,7.42,67.0
3,7.31,28.56,7.42,113.0
4,7.31,28.56,7.42,-1.0
5,7.31,28.56,7.42,-1.0
6,7.31,28.56,7.42,-1.0
7,7.31,28.56,7.42,103.0
8,7.31,28.56,7.42,-1.0
1,7.98,25.83,6.07,132.0
2,7.98,25.83,6.07,69.0
3,7.98,25.83,6.07,115.0
4,7.98,25.83,6.07,-1.0
5,7.98,25.83,6.07,121.0
6,7.98,25.83,6.07,-1.0
7,7.98,25.83,6.07,106.0
8,7.98,25.83,6.07,-1.0
1,9.74,27.84,6.86,127.0
2,9.74,27.84,6.86,70.0
3,9.74,27.84,6.86,113.0
4,9.74,27.84,6.86,-1.0
5,9.74,27.84,6.86,-1.0
6,9.74,27.84,6.86,-1.0
7,9.74,27.84,6.86,-1.0
8,9.74,27.84,6.86,-1.0
1,12.15,-1.1,5.86,-1.0
2,12.15,-1.1,5.86,-1.0
3,12.15,-1.1,5.86,119.0
4,12.15,-1.1,5.86,-1.0
5,12.15,-1.1,5.86,-1.0
6,12.15,-1.1,5.86,-1.0
7,12.15,-1.1,5.86,-1.0
8,12.15,-1.1,5.86,-1.0
1,10.59,25.17,4.73,131.0
2,10.59,25.17,4.73,71.0
3,10.59,25.17,4.73,115.0
4,10.59,25.17,4.73,-1.0
5,10.59,25.17,4.73,-1.0
6,10.59,25.17,4.73,-1.0
7,10.59,25.17,4.73,105.0
8,10.59,25.17,4.73,-1.0
1,9.68,28.31,5.35,130.0
2,9.68,28.31,5.35,73.0
3,9.68,28.31,5.35,116.0
4,9.68,28.31,5.35,74.0
5,9.68,28.31,5.35,-1.0
6,9.68,28.31,5.35,-1.0
7,9.68,28.31,5.35,107.0
8,9.68,28.31,5.35,-1.0
1,13.16,28.85,6.12,133.0
2,13.16,28.85,6.12,67.0
3,13.16,28.85,6.12,111.0
4,13.16,28.85,6.12,-1.0
5,13.16,28.85,6.12,118.0
6,13.16,28.85,6.12,-1.0
7,13.16,28.85,6.12,-1.0
8,13.16,28.85,6.12,-1.0
1,9.75,0.59,7.67,-1.0
2,9.75,0.59,7.67,-1.0
3,9.75,0.59,7.67,109.0
4,9.75,0.59,7.67,-1.0
5,9.75,0.59,7.67,-1.0
6,9.75,0.59,7.67,-1.0
7,9.75,0.59,7.67,-1.0
8,9.75,0.59,7.67,-1.0
1,-1,-1,-1,-1.0
2,-1,-1,-1,-1.0
3,-1,-1,-1,-1.0
4,-1,-1,-1,-1.0
5,-1,-1,-1,-1.0
6,-1,-1,-1,-1.0
7,-1,-1,-1,-1.0
8,-1,-1,-1,-1.0
1,8.9,24.76,7.59,-1.0
2,8.9,24.76,7.59,-1.0
3,8.9,24.76,7.59,-1.0
4,8.9,24.76,7.59,-1.0
5,8.9,24.76,7.59,-1.0
6,8.9,24.76,7.59,-1.0
7,8.9,24.76,7.59,-1.0
8,8.9,24.76,7.59,-1.0
1,12.21,24.5,5.63,-1.0
2,12.21,24.5,5.63,-1.0
3,12.21,24.5,5.63,-1.0
4,12.21,24.5,5.63,-1.0
5,12.21,24.5,5.63,-1.0
6,12.21,24.5,5.63,-1.0
7,12.21,24.5,5.63,-1.0
8,12.21,24.5,5.63,-1.0
